8,"yes","Cone Beam","SIRONA","Orthophos XG 3D","1537048","2017","2017","SALLE DE RADIOLOGIE","CODEP-LIL-2020-021513","12/03/2020","D620227","90","15","14,1","CCD","true"
45,"yes","Cone Beam","VATECH","D052SB","069 000172","2017",2018,"SALLE DE RADIOLOGIE"," CODEP-LIL-2020-012919"," 13/02/2020","D620217","77","12","14","CCD","true"
52,"yes","Cone Beam","MY RAY","Hyperion X5 3D","708H1249",2021,2021,"SALLE PANORAMIQUE","CODEP-LIL-2021-013265","15/03/2021","D590673","90","15","14","CCD","false"
71,"yes","Cone Beam","SIRONA","Galileos","41710","2012",,"SALLE PANORAMIQUE",,,,"85","7","3","CCD","true"
76,"yes","Cone Beam","CARESTREAM","CS 8100 3D","GEXH 128","2018",,"SALLE PANORAMIQUE"," CODEP-LIL-2019-029270"," 28/06/2019","D590308","90","3.2","15","CCD","false"
83,"yes","Cone Beam","SIRONA","Orthophos 3","140012","2019","2020","SALLE PANORAMIQUE","LIL-2020-2940",2020-05-01,"D62032","80","14",,"ERLM","true"
87,"yes","Cone Beam","CARESTREAM","CS 8100 3D","CBXH 116","2018",,"SALLE PANORAMIQUE",,,,"90","3.2","7","CCD","false"
94,"yes","Cone Beam","MORITA","X550","HI 8010","2019",,"SALLE PANORAMIQUE",,,,"90","6","9,3","CCD","false"
107,"yes","Cone Beam","CARESTREAM","CS 8100 3D","IBXH 128","2020","2021","SALLE DE RADIOLOGIE","CODEP-LIL-2021-002935","14/01/2021","D 590520","90","10","15","CCD","true"
115,"yes","Cone Beam","CARESTREAM","CS 8100 3D","EAXH057","2016","2018","SALLE PANORAMIQUE","CODEP-LIL-2020-052784","31/10/2020","D620161","85","10","15","CCD","false"
117,"yes","Cone Beam","TROPHY","CS 9000 3D","BJXX134","2013","2013","SALLE DE SOINS","CODEP-LIL-2015-046259","26/10/2015",,"90","10","15.2","CCD","true"
